# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Nov 11 07:45:11 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,11 Com,2,1,2007,0,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,6165.60000,476.70000,-476.70000,0,0.231000,0.005000,-0.005000,0,,,,,,,,,G8 III,4742.00,100.00,-100.00,0,19.00,2.00,-2.00,0,2.70,0.30,-0.30,0,2.31,0.10,-0.10,0,93.1846000,1.9238000,-1.9238000
11 UMi b,11 UMi,1,1,2009,0,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,4684.81420,794.57500,-794.57500,0,0.080000,0.030000,-0.030000,0,,,,,,,,,K4 III,4213.00,46.00,-46.00,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,1.93,0.07,-0.07,0,125.3210000,1.9765000,-1.9765000
14 And b,14 And,1,1,2008,0,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,1525.50000,,,0,0.000000,,,0,,,,,,,,,K0 III,4813.00,20.00,-20.00,0,11.00,1.00,-1.00,0,2.20,0.10,-0.20,0,2.63,0.07,-0.07,0,75.4392000,0.7140000,-0.7140000
14 Her b,14 Her,1,2,2002,0,1765.03890112,1.67708897,-1.87256063,0,2.773069,0.110517,-0.118828,0,2586.74645,492.67126,-308.97002,0,0.372689,0.008388,-0.006030,0,,,,,,,,,K0 V,5338.00,25.00,-25.00,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,4.45,0.02,-0.02,0,17.9323000,0.0073000,-0.0073000
16 Cyg B b,16 Cyg B,3,1,1996,0,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,565.73740,25.42640,-25.42640,0,0.680000,0.020000,-0.020000,0,,,,,,,,,G3 V,5750.00,8.00,-8.00,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,4.36,0.01,-0.01,0,21.1397000,0.0110000,-0.0111000
17 Sco b,17 Sco,1,1,2020,0,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,1373.01872,47.67426,-38.13941,0,0.060000,0.030000,-0.020000,0,,,,,,,,,K3 III,4157.00,11.00,-10.00,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,1.70,0.04,-0.06,0,124.9530000,2.5900000,-2.5900000
18 Del b,18 Del,2,1,2008,0,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,3273.50000,,,0,0.080000,0.010000,-0.010000,0,,,,,,,,,G6 III,4979.00,18.00,-18.00,0,8.50,,,0,2.30,,,0,2.82,0.06,-0.06,0,76.2220000,0.6217000,-0.6217000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,2008,0,,,,,330.000000,,,0,3000.00000,300.00000,-300.00000,0,,,,,,,,,1700,100,-100,0,K7 V,4060.00,300.00,-200.00,0,1.31,0.18,-0.10,0,0.85,0.20,-0.10,0,4.00,0.14,-0.10,0,139.1350000,1.3320000,-1.3070000
24 Boo b,24 Boo,1,1,2018,0,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,289.22530,41.31790,-31.78300,0,0.042000,0.048000,-0.029000,0,,,,,,,,,G3 IV,4893.00,15.00,-15.00,0,10.64,0.84,-0.59,0,0.99,0.19,-0.13,0,2.42,0.10,-0.10,0,95.9863000,0.6368500,-0.6368500
24 Sex b,24 Sex,1,2,2010,0,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,632.46000,82.63000,-120.77000,0,0.090000,0.140000,-0.060000,0,,,,,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,3.50,0.10,-0.10,0,72.0691000,0.6854000,-0.6728000
24 Sex c,24 Sex,1,2,2010,0,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,273.32000,111.24000,-69.92000,0,0.290000,0.160000,-0.090000,0,,,,,,,,,K0 IV,5098.00,44.00,-44.00,0,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,3.50,0.10,-0.10,0,72.0691000,0.6854000,-0.6728000
